Pathway_A,Pathway_B,Pathway_C,Pathway_D,Pathway_E,Pathway_F
GENE1_255,GENE2_263,GENE3_265,GENE4_279,GENE5_279,GENE6_279
GENE1_256,GENE2_264,GENE3_266,GENE4_280,GENE5_280,GENE6_280
GENE1_257,GENE2_265,GENE3_267,GENE4_281,GENE5_281,GENE6_281
GENE1_258,GENE2_266,GENE3_268,GENE4_282,GENE5_282,GENE6_282
GENE1_259,GENE2_267,GENE3_269,GENE4_283,GENE5_283,GENE6_283
GENE1_260,GENE2_268,GENE3_270,GENE4_284,GENE5_284,GENE6_284
GENE1_261,GENE2_269,GENE3_271,GENE4_285,GENE5_285,GENE6_285
GENE1_262,GENE2_270,GENE3_272,GENE4_286,GENE5_286,GENE6_286
GENE1_263,GENE2_271,GENE3_273,GENE4_287,GENE5_287,GENE6_287
GENE1_264,GENE2_272,GENE3_274,GENE4_288,GENE5_288,GENE6_288
GENE1_265,GENE2_273,GENE3_275,GENE4_289,GENE5_289,GENE6_289
GENE1_266,GENE2_274,GENE3_276,GENE4_290,GENE5_290,GENE6_290
GENE1_267,GENE2_275,GENE3_277,GENE4_291,GENE5_291,GENE6_291
GENE1_268,GENE2_276,GENE3_278,GENE4_292,GENE5_292,GENE6_292
GENE1_269,GENE2_277,GENE3_279,GENE4_293,GENE5_293,GENE6_293
GENE1_270,GENE2_278,GENE3_280,GENE4_294,GENE5_294,GENE6_294
GENE1_271,GENE2_279,GENE3_281,GENE4_295,GENE5_295,GENE6_295
GENE1_272,GENE2_280,GENE3_282,GENE4_296,GENE5_296,GENE6_296
GENE1_273,GENE2_281,GENE3_283,GENE4_297,GENE5_297,GENE6_297
GENE1_274,GENE2_282,GENE3_284,GENE4_298,GENE5_298,GENE6_298
GENE1_275,GENE2_283,GENE3_285,GENE4_299,GENE5_299,GENE6_299
GENE1_276,GENE2_284,GENE3_286,GENE4_300,GENE5_300,GENE6_300
GENE1_277,GENE2_285,GENE3_287,GENE4_301,GENE5_301,GENE6_301
GENE1_278,GENE2_286,GENE3_288,GENE4_302,GENE5_302,GENE6_302
GENE1_279,GENE2_287,GENE3_289,GENE4_303,GENE5_303,GENE6_303
GENE1_280,GENE2_288,GENE3_290,GENE4_304,GENE5_304,GENE6_304
GENE1_281,GENE2_289,GENE3_291,GENE4_305,GENE5_305,GENE6_305
GENE1_282,GENE2_290,GENE3_292,GENE4_306,GENE5_306,GENE6_306
GENE1_283,GENE2_291,GENE3_293,GENE4_307,GENE5_307,GENE6_307
GENE1_284,GENE2_292,GENE3_294,GENE4_308,GENE5_308,GENE6_308
GENE1_285,GENE2_293,GENE3_295,GENE4_309,GENE5_309,GENE6_309
GENE1_286,GENE2_294,GENE3_296,GENE4_310,GENE5_310,GENE6_310
GENE1_287,GENE2_295,GENE3_297,GENE4_311,GENE5_311,GENE6_311
GENE1_288,GENE2_296,GENE3_298,GENE4_312,GENE5_312,GENE6_312
GENE1_289,GENE2_297,GENE3_299,GENE4_313,GENE5_313,GENE6_313
GENE1_290,GENE2_298,GENE3_300,GENE4_314,GENE5_314,GENE6_314
GENE1_291,GENE2_299,GENE3_301,GENE4_315,GENE5_315,GENE6_315
GENE1_292,GENE2_300,GENE3_302,GENE4_316,GENE5_316,GENE6_316
GENE1_293,GENE2_301,GENE3_303,GENE4_317,GENE5_317,GENE6_317
GENE1_294,GENE2_302,GENE3_304,GENE4_318,GENE5_318,GENE6_318
GENE1_295,GENE2_303,GENE3_305,GENE4_319,GENE5_319,GENE6_319
GENE1_296,GENE2_304,GENE3_306,GENE4_320,GENE5_320,GENE6_320
GENE1_297,GENE2_305,GENE3_307,GENE4_321,GENE5_321,GENE6_321
GENE1_298,GENE2_306,GENE3_308,GENE4_322,GENE5_322,GENE6_322
GENE1_299,GENE2_307,GENE3_309,GENE4_323,GENE5_323,GENE6_323
GENE1_300,GENE2_308,GENE3_310,GENE4_324,GENE5_324,GENE6_324
GENE1_301,GENE2_309,GENE3_311,GENE4_325,GENE5_325,GENE6_325
GENE1_302,GENE2_310,GENE3_312,GENE4_326,GENE5_326,GENE6_326
GENE1_303,GENE2_311,GENE3_313,GENE4_327,GENE5_327,GENE6_327
GENE1_304,GENE2_312,GENE3_314,GENE4_328,GENE5_328,GENE6_328
GENE1_305,GENE2_313,GENE3_315,GENE4_329,GENE5_329,GENE6_329
GENE1_306,GENE2_314,GENE3_316,GENE4_330,GENE5_330,GENE6_330
GENE1_307,GENE2_315,GENE3_317,GENE4_331,GENE5_331,GENE6_331
GENE1_308,GENE2_316,GENE3_318,GENE4_332,GENE5_332,GENE6_332
GENE1_309,GENE2_317,GENE3_319,GENE4_333,GENE5_333,GENE6_333
GENE1_310,GENE2_318,GENE3_320,GENE4_334,GENE5_334,GENE6_334
GENE1_311,GENE2_319,GENE3_321,GENE4_335,GENE5_335,GENE6_335
GENE1_312,GENE2_320,GENE3_322,GENE4_336,GENE5_336,GENE6_336
GENE1_313,GENE2_321,GENE3_323,GENE4_337,GENE5_337,GENE6_337
GENE1_314,GENE2_322,GENE3_324,GENE4_338,GENE5_338,GENE6_338
GENE1_315,GENE2_323,GENE3_325,GENE4_339,GENE5_339,GENE6_339
GENE1_316,GENE2_324,GENE3_326,GENE4_340,GENE5_340,GENE6_340
GENE1_317,GENE2_325,GENE3_327,GENE4_341,GENE5_341,GENE6_341
GENE1_318,GENE2_326,GENE3_328,GENE4_342,GENE5_342,GENE6_342
GENE1_319,GENE2_327,GENE3_329,GENE4_343,GENE5_343,GENE6_343
GENE1_320,GENE2_328,GENE3_330,GENE4_344,GENE5_344,GENE6_344
GENE1_321,GENE2_329,GENE3_331,GENE4_345,GENE5_345,GENE6_345
GENE1_322,GENE2_330,GENE3_332,GENE4_346,GENE5_346,GENE6_346
GENE1_323,GENE2_331,GENE3_333,GENE4_347,GENE5_347,GENE6_347
GENE1_324,GENE2_332,GENE3_334,GENE4_348,GENE5_348,GENE6_348
GENE1_325,GENE2_333,GENE3_335,GENE4_349,GENE5_349,GENE6_349
GENE1_326,GENE2_334,GENE3_336,GENE4_350,GENE5_350,GENE6_350
GENE1_327,GENE2_335,GENE3_337,GENE4_351,GENE5_351,GENE6_351
GENE1_328,GENE2_336,GENE3_338,GENE4_352,GENE5_352,GENE6_352
GENE1_329,GENE2_337,GENE3_339,GENE4_353,GENE5_353,GENE6_353
GENE1_330,GENE2_338,GENE3_340,GENE4_354,GENE5_354,GENE6_354
GENE1_331,GENE2_339,GENE3_341,GENE4_355,GENE5_355,GENE6_355
GENE1_332,GENE2_340,GENE3_342,GENE4_356,GENE5_356,GENE6_356
GENE1_333,GENE2_341,GENE3_343,GENE4_357,GENE5_357,GENE6_357
GENE1_334,GENE2_342,GENE3_344,GENE4_358,GENE5_358,GENE6_358
GENE1_335,GENE2_343,GENE3_345,GENE4_359,GENE5_359,GENE6_359
GENE1_336,GENE2_344,GENE3_346,GENE4_360,GENE5_360,GENE6_360
GENE1_337,GENE2_345,GENE3_347,GENE4_361,GENE5_361,GENE6_361
GENE1_338,GENE2_346,GENE3_348,GENE4_362,GENE5_362,GENE6_362
GENE1_339,GENE2_347,GENE3_349,GENE4_363,GENE5_363,GENE6_363
GENE1_340,GENE2_348,GENE3_350,GENE4_364,GENE5_364,GENE6_364
GENE1_341,GENE2_349,GENE3_351,GENE4_365,GENE5_365,GENE6_365
GENE1_342,GENE2_350,GENE3_352,GENE4_366,GENE5_366,GENE6_366
GENE1_343,GENE2_351,GENE3_353,GENE4_367,GENE5_367,GENE6_367
GENE1_344,GENE2_352,GENE3_354,GENE4_368,GENE5_368,GENE6_368
GENE1_345,GENE2_353,GENE3_355,GENE4_369,GENE5_369,GENE6_369
GENE1_346,GENE2_354,GENE3_356,GENE4_370,GENE5_370,GENE6_370
GENE1_347,GENE2_355,GENE3_357,GENE4_371,GENE5_371,GENE6_371
GENE1_348,GENE2_356,GENE3_358,GENE4_372,GENE5_372,GENE6_372
GENE1_349,GENE2_357,GENE3_359,GENE4_373,GENE5_373,GENE6_373
GENE1_350,GENE2_358,GENE3_360,GENE4_374,GENE5_374,GENE6_374
GENE1_351,GENE2_359,GENE3_361,GENE4_375,GENE5_375,GENE6_375
GENE1_352,GENE2_360,GENE3_362,GENE4_376,GENE5_376,GENE6_376
GENE1_353,GENE2_361,GENE3_363,GENE4_377,GENE5_377,GENE6_377
GENE1_354,GENE2_362,GENE3_364,GENE4_378,GENE5_378,GENE6_378
GENE1_355,GENE2_363,GENE3_365,GENE4_379,GENE5_379,GENE6_379
GENE1_356,GENE2_364,GENE3_366,GENE4_380,GENE5_380,GENE6_380
GENE1_357,GENE2_365,GENE3_367,GENE4_381,GENE5_381,GENE6_381
GENE1_358,GENE2_366,GENE3_368,GENE4_382,GENE5_382,GENE6_382
GENE1_359,GENE2_367,GENE3_369,GENE4_383,GENE5_383,GENE6_383
GENE1_360,GENE2_368,GENE3_370,GENE4_384,GENE5_384,GENE6_384
GENE1_361,GENE2_369,GENE3_371,GENE4_385,GENE5_385,GENE6_385
GENE1_362,GENE2_370,GENE3_372,GENE4_386,GENE5_386,GENE6_386
GENE1_363,GENE2_371,GENE3_373,GENE4_387,GENE5_387,GENE6_387
GENE1_364,GENE2_372,GENE3_374,GENE4_388,GENE5_388,GENE6_388
GENE1_365,GENE2_373,GENE3_375,GENE4_389,GENE5_389,GENE6_389
GENE1_366,GENE2_374,GENE3_376,GENE4_390,GENE5_390,GENE6_390
GENE1_367,GENE2_375,GENE3_377,GENE4_391,GENE5_391,GENE6_391
GENE1_368,GENE2_376,GENE3_378,GENE4_392,GENE5_392,GENE6_392
GENE1_369,GENE2_377,GENE3_379,GENE4_393,GENE5_393,GENE6_393
GENE1_370,GENE2_378,GENE3_380,GENE4_394,GENE5_394,GENE6_394
GENE1_371,GENE2_379,GENE3_381,GENE4_395,GENE5_395,GENE6_395
GENE1_372,GENE2_380,GENE3_382,GENE4_396,GENE5_396,GENE6_396
GENE1_373,GENE2_381,GENE3_383,GENE4_397,GENE5_397,GENE6_397
GENE1_374,GENE2_382,GENE3_384,GENE4_398,GENE5_398,GENE6_398
GENE1_375,GENE2_383,GENE3_385,GENE4_399,GENE5_399,GENE6_399
GENE1_376,GENE2_384,GENE3_386,GENE4_400,GENE5_400,GENE6_400
GENE1_377,GENE2_385,GENE3_387,GENE4_401,GENE5_401,GENE6_401
GENE1_378,GENE2_386,GENE3_388,GENE4_402,GENE5_402,GENE6_402
GENE1_379,GENE2_387,GENE3_389,GENE4_403,GENE5_403,GENE6_403
GENE1_380,GENE2_388,GENE3_390,GENE4_404,GENE5_404,GENE6_404
GENE1_381,GENE2_389,GENE3_391,GENE4_405,GENE5_405,GENE6_405
GENE1_382,GENE2_390,GENE3_392,GENE4_406,GENE5_406,GENE6_406
GENE1_383,GENE2_391,GENE3_393,GENE4_407,GENE5_407,GENE6_407
GENE1_384,GENE2_392,GENE3_394,GENE4_408,GENE5_408,GENE6_408
GENE1_385,GENE2_393,GENE3_395,GENE4_409,GENE5_409,GENE6_409
GENE1_386,GENE2_394,GENE3_396,GENE4_410,GENE5_410,GENE6_410
GENE1_387,GENE2_395,GENE3_397,GENE4_411,GENE5_411,GENE6_411
GENE1_388,GENE2_396,GENE3_398,GENE4_412,GENE5_412,GENE6_412
GENE1_389,GENE2_397,GENE3_399,GENE4_413,GENE5_413,GENE6_413
GENE1_390,GENE2_398,GENE3_400,GENE4_414,GENE5_414,GENE6_414
GENE1_391,GENE2_399,GENE3_401,GENE4_415,GENE5_415,GENE6_415
GENE1_392,GENE2_400,GENE3_402,GENE4_416,GENE5_416,GENE6_416
GENE1_393,GENE2_401,GENE3_403,GENE4_417,GENE5_417,GENE6_417
GENE1_394,GENE2_402,GENE3_404,GENE4_418,GENE5_418,GENE6_418
GENE1_395,GENE2_403,GENE3_405,GENE4_419,GENE5_419,GENE6_419
GENE1_396,GENE2_404,GENE3_406,GENE4_420,GENE5_420,GENE6_420
GENE1_397,GENE2_405,GENE3_407,GENE4_421,GENE5_421,GENE6_421
GENE1_398,GENE2_406,GENE3_408,GENE4_422,GENE5_422,GENE6_422
GENE1_399,GENE2_407,GENE3_409,GENE4_423,GENE5_423,GENE6_423
GENE1_400,GENE2_408,GENE3_410,GENE4_424,GENE5_424,GENE6_424
GENE1_401,GENE2_409,GENE3_411,GENE4_425,GENE5_425,GENE6_425
GENE1_402,GENE2_410,GENE3_412,GENE4_426,GENE5_426,GENE6_426
GENE1_403,GENE2_411,GENE3_413,GENE4_427,GENE5_427,GENE6_427
GENE1_404,GENE2_412,GENE3_414,GENE4_428,GENE5_428,GENE6_428
GENE1_405,GENE2_413,GENE3_415,GENE4_429,GENE5_429,GENE6_429
GENE1_406,GENE2_414,GENE3_416,GENE4_430,GENE5_430,GENE6_430
GENE1_407,GENE2_415,GENE3_417,GENE4_431,GENE5_431,GENE6_431
GENE1_408,GENE2_416,GENE3_418,GENE4_432,GENE5_432,GENE6_432
GENE1_409,GENE2_417,GENE3_419,GENE4_433,GENE5_433,GENE6_433
GENE1_410,GENE2_418,GENE3_420,GENE4_434,GENE5_434,GENE6_434
GENE1_411,GENE2_419,GENE3_421,GENE4_435,GENE5_435,GENE6_435
GENE1_412,GENE2_420,GENE3_422,GENE4_436,GENE5_436,GENE6_436
GENE1_413,GENE2_421,GENE3_423,GENE4_437,GENE5_437,GENE6_437
GENE1_414,GENE2_422,GENE3_424,GENE4_438,GENE5_438,GENE6_438
GENE1_415,GENE2_423,GENE3_425,GENE4_439,GENE5_439,GENE6_439
GENE1_416,GENE2_424,GENE3_426,GENE4_440,GENE5_440,GENE6_440
GENE1_417,GENE2_425,GENE3_427,GENE4_441,GENE5_441,GENE6_441
GENE1_418,GENE2_426,GENE3_428,GENE4_442,GENE5_442,GENE6_442
GENE1_419,GENE2_427,GENE3_429,GENE4_443,GENE5_443,GENE6_443
GENE1_420,GENE2_428,GENE3_430,GENE4_444,GENE5_444,GENE6_444
GENE1_421,GENE2_429,GENE3_431,GENE4_445,GENE5_445,GENE6_445
GENE1_422,GENE2_430,GENE3_432,GENE4_446,GENE5_446,GENE6_446
GENE1_423,GENE2_431,GENE3_433,GENE4_447,GENE5_447,GENE6_447
GENE1_424,GENE2_432,GENE3_434,GENE4_448,GENE5_448,GENE6_448
GENE1_425,GENE2_433,GENE3_435,GENE4_449,GENE5_449,GENE6_449
GENE1_426,GENE2_434,GENE3_436,GENE4_450,GENE5_450,GENE6_450
GENE1_427,GENE2_435,GENE3_437,GENE4_451,GENE5_451,GENE6_451
GENE1_428,GENE2_436,GENE3_438,GENE4_452,GENE5_452,GENE6_452
GENE1_429,GENE2_437,GENE3_439,GENE4_453,GENE5_453,GENE6_453
GENE1_430,GENE2_438,GENE3_440,GENE4_454,GENE5_454,GENE6_454
GENE1_431,GENE2_439,GENE3_441,GENE4_455,GENE5_455,GENE6_455
GENE1_432,GENE2_440,GENE3_442,GENE4_456,GENE5_456,GENE6_456
GENE1_433,GENE2_441,GENE3_443,GENE4_457,GENE5_457,GENE6_457
GENE1_434,GENE2_442,GENE3_444,GENE4_458,GENE5_458,GENE6_458
GENE1_435,GENE2_443,GENE3_445,GENE4_459,GENE5_459,GENE6_459
GENE1_436,GENE2_444,GENE3_446,GENE4_460,GENE5_460,GENE6_460
GENE1_437,GENE2_445,GENE3_447,GENE4_461,GENE5_461,GENE6_461
GENE1_438,GENE2_446,GENE3_448,GENE4_462,GENE5_462,GENE6_462
GENE1_439,GENE2_447,GENE3_449,GENE4_463,GENE5_463,GENE6_463
GENE1_440,GENE2_448,GENE3_450,GENE4_464,GENE5_464,GENE6_464
GENE1_441,GENE2_449,GENE3_451,GENE4_465,GENE5_465,GENE6_465
GENE1_442,GENE2_450,GENE3_452,GENE4_466,GENE5_466,GENE6_466
GENE1_443,GENE2_451,GENE3_453,GENE4_467,GENE5_467,GENE6_467
GENE1_444,GENE2_452,GENE3_454,GENE4_468,GENE5_468,GENE6_468
GENE1_445,GENE2_453,GENE3_455,GENE4_469,GENE5_469,GENE6_469
GENE1_446,GENE2_454,GENE3_456,GENE4_470,GENE5_470,GENE6_470
GENE1_447,GENE2_455,GENE3_457,GENE4_471,GENE5_471,GENE6_471
GENE1_448,GENE2_456,GENE3_458,GENE4_472,GENE5_472,GENE6_472
GENE1_449,GENE2_457,GENE3_459,GENE4_473,GENE5_473,GENE6_473
GENE1_450,GENE2_458,GENE3_460,GENE4_474,GENE5_474,GENE6_474
GENE1_451,GENE2_459,GENE3_461,GENE4_475,GENE5_475,GENE6_475
GENE1_452,GENE2_460,GENE3_462,GENE4_476,GENE5_476,GENE6_476
GENE1_453,GENE2_461,GENE3_463,GENE4_477,GENE5_477,GENE6_477
GENE1_454,GENE2_462,GENE3_464,GENE4_478,GENE5_478,GENE6_478
GENE1_455,GENE2_463,GENE3_465,GENE4_479,GENE5_479,GENE6_479
GENE1_456,GENE2_464,GENE3_466,GENE4_480,GENE5_480,GENE6_480
GENE1_457,GENE2_465,GENE3_467,GENE4_481,GENE5_481,GENE6_481
GENE1_458,GENE2_466,GENE3_468,GENE4_482,GENE5_482,GENE6_482
GENE1_459,GENE2_467,GENE3_469,GENE4_483,GENE5_483,GENE6_483
GENE1_460,GENE2_468,GENE3_470,GENE4_484,GENE5_484,GENE6_484
GENE1_461,GENE2_469,GENE3_471,GENE4_485,GENE5_485,GENE6_485
GENE1_462,GENE2_470,GENE3_472,GENE4_486,GENE5_486,GENE6_486
GENE1_463,GENE2_471,GENE3_473,GENE4_487,GENE5_487,GENE6_487
GENE1_464,GENE2_472,GENE3_474,GENE4_488,GENE5_488,GENE6_488
GENE1_465,GENE2_473,GENE3_475,GENE4_489,GENE5_489,GENE6_489
GENE1_466,GENE2_474,GENE3_476,GENE4_490,GENE5_490,GENE6_490
GENE1_467,GENE2_475,GENE3_477,GENE4_491,GENE5_491,GENE6_491
GENE1_468,GENE2_476,GENE3_478,GENE4_492,GENE5_492,GENE6_492
GENE1_469,GENE2_477,GENE3_479,GENE4_493,GENE5_493,GENE6_493
GENE1_470,GENE2_478,GENE3_480,GENE4_494,GENE5_494,GENE6_494
GENE1_471,GENE2_479,GENE3_481,GENE4_495,GENE5_495,GENE6_495
GENE1_472,GENE2_480,GENE3_482,GENE4_496,GENE5_496,GENE6_496
GENE1_473,GENE2_481,GENE3_483,GENE4_497,GENE5_497,GENE6_497
GENE1_474,GENE2_482,GENE3_484,GENE4_498,GENE5_498,GENE6_498
GENE1_475,GENE2_483,GENE3_485,GENE4_499,GENE5_499,GENE6_499
GENE1_476,GENE2_484,GENE3_486,GENE4_500,GENE5_500,GENE6_500
GENE1_477,GENE2_485,GENE3_487,GENE4_501,GENE5_501,GENE6_501
GENE1_478,GENE2_486,GENE3_488,GENE4_502,GENE5_502,GENE6_502
GENE1_479,GENE2_487,GENE3_489,GENE4_503,GENE5_503,GENE6_503
GENE1_480,GENE2_488,GENE3_490,GENE4_504,GENE5_504,GENE6_504
GENE1_481,GENE2_489,GENE3_491,GENE4_505,GENE5_505,GENE6_505
GENE1_482,GENE2_490,GENE3_492,GENE4_506,GENE5_506,GENE6_506
GENE1_483,GENE2_491,GENE3_493,GENE4_507,GENE5_507,GENE6_507
GENE1_484,GENE2_492,GENE3_494,GENE4_508,GENE5_508,GENE6_508
GENE1_485,GENE2_493,GENE3_495,GENE4_509,GENE5_509,GENE6_509
GENE1_486,GENE2_494,GENE3_496,GENE4_510,GENE5_510,GENE6_510
GENE1_487,GENE2_495,GENE3_497,GENE4_511,GENE5_511,GENE6_511
GENE1_488,GENE2_496,GENE3_498,GENE4_512,GENE5_512,GENE6_512
GENE1_489,GENE2_497,GENE3_499,GENE4_513,GENE5_513,GENE6_513
GENE1_490,GENE2_498,GENE3_500,GENE4_514,GENE5_514,GENE6_514
GENE1_491,GENE2_499,GENE3_501,GENE4_515,GENE5_515,GENE6_515
GENE1_492,GENE2_500,GENE3_502,GENE4_516,GENE5_516,GENE6_516
GENE1_493,GENE2_501,GENE3_503,GENE4_517,GENE5_517,GENE6_517
GENE1_494,GENE2_502,GENE3_504,GENE4_518,GENE5_518,GENE6_518
GENE1_495,GENE2_503,GENE3_505,GENE4_519,GENE5_519,GENE6_519
GENE1_496,GENE2_504,GENE3_506,GENE4_520,GENE5_520,GENE6_520
GENE1_497,GENE2_505,GENE3_507,GENE4_521,GENE5_521,GENE6_521
GENE1_498,GENE2_506,GENE3_508,GENE4_522,GENE5_522,GENE6_522
GENE1_499,GENE2_507,GENE3_509,GENE4_523,GENE5_523,GENE6_523
GENE1_500,GENE2_508,GENE3_510,GENE4_524,GENE5_524,GENE6_524
GENE1_501,GENE2_509,GENE3_511,GENE4_525,GENE5_525,GENE6_525
GENE1_502,GENE2_510,GENE3_512,GENE4_526,GENE5_526,GENE6_526
GENE1_503,GENE2_511,GENE3_513,GENE4_527,GENE5_527,GENE6_527
